"7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7"
"8;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;8"
"8;8;8;6;6;6;6;6;0;0;0;6;0;0;0;0;6;6;0;0;0;0;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;0;0;2;0;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;0;0;0;0;6;6;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;0;0;0;6;6;6;6;6;6;6;6;8;6;8"
"8;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;8;6;6;6;6;2;6;8"
"8;6;8;0;0;0;0;0;6;6;6;0;0;0;0;0;0;0;6;6;6;6;8;8;8"
"8;6;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8"
"8;6;0;6;6;6;6;6;6;6;6;6;6;0;6;6;6;6;6;6;6;5;8;8;8"
"8;6;8;6;6;6;6;6;8;0;0;6;0;0;0;0;6;8;0;0;0;0;8;8;8"
"8;6;8;6;6;6;6;6;8;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8"
"8;6;8;6;6;6;6;6;0;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8"
"8;6;6;6;6;6;6;6;8;6;6;0;0;0;0;0;6;6;6;6;6;6;6;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;6;6;6;8;6;8"
"8;8;8;6;6;6;6;6;8;0;0;0;0;8;6;6;6;6;6;6;6;6;8;6;8"
"8;6;6;6;6;6;6;6;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8"
"8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8"
"8;8;8;6;6;6;6;6;8;8;6;0;0;0;0;0;0;0;6;8;8;6;6;8;8"
"8;8;8;6;6;6;6;6;8;8;6;6;6;6;6;6;6;6;6;8;8;8;6;3;8"
"7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7"
